account,date,daily_pnl,avg_trade_size,total_fee,num_trades,prev_day_pnl,rolling_3day_pnl,volatility,sentiment_Extreme Greed,sentiment_Fear,sentiment_Greed,sentiment_Neutral,target
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-19,102.504343,155.71684782608696,9.57127425,184,594.135892,288.5205849999988,214.02078093921335,True,False,False,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-20,608.885905,169.7668047337278,11.29703859,169,102.504343,435.17537999999877,241.20659626218904,True,False,False,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-21,428.3738,262.3486170212766,9.96375392,94,608.885905,379.92134933333205,235.65829845484848,True,False,False,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-22,589.467131,120.82616071428572,4.77079692,112,428.3738,542.2422786666654,215.41549708567896,True,False,False,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-23,229.609892,128.88065573770493,4.98842587,122,589.467131,415.81694099999874,222.22389099421522,True,False,False,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-24,347.22838,145.0465,6.46564692,120,229.609892,388.7684676666654,161.1412964654568,True,False,False,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-25,124.70498799999999,241.47220338983053,11.00739186,118,347.22838,233.84775333333212,179.2754836958682,True,False,False,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-26,273.211119,334.20924528301884,11.383431,106,124.70498799999999,248.38149566666547,174.35424573203773,False,False,True,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-27,838.930696,1223.7995522388057,118.08617435,268,273.211119,412.2822676666654,278.1177369364498,False,False,True,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-28,1019.55769,624.2161589403973,32.20703597,151,838.930696,710.5665016666654,386.7444136347664,False,False,True,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-29,152.618804,340.8880952380952,4.761573,42,1019.55769,670.3690633333321,417.16666206183714,False,False,True,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-30,1234.2072,394.06465116279065,12.06936192,86,152.618804,802.1278979999988,471.3020453605169,False,False,True,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-31,755.916254,374.2630612244898,6.418588,49,1234.2072,714.2474193333322,405.9872404275772,True,False,False,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-01,3.536668000000001,1057.5154901960784,18.86497698,51,755.916254,664.5533739999988,536.8834581045409,False,False,True,False,1
